"url","eingereicht_am","mitunterzeichner"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244163","26.09.2024","Clivaz Christophe, Amoos Emmanuel, Arslan Sibel, Badertscher Christine, Baumann Kilian, Brenzikofer Florence, Candan Hasan, Crottaz Brigitte, Fivaz Fabien, Glättli Balthasar, Gysin Greta, Klopfenstein Broggini Delphine, Nordmann Roger, Porchet Léonore, Schlatter Marionna, Walder Nicolas, Weichelt Manuela"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244132","26.09.2024","Weichelt Manuela, Arslan Sibel, Baumann Kilian, Brenzikofer Florence, Candan Hasan, Clivaz Christophe, Fivaz Fabien, Glättli Balthasar, Klopfenstein Broggini Delphine, Mettler Melanie, Porchet Léonore, Prelicz-Huber Katharina, Schlatter Marionna, Töngi Michael, Walder Nicolas, Wettstein Felix, Zybach Ursula"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243821","ngIf: businessRole.Committees.CommitteeName Kommission für Wissenschaft, Bildung und Kultur Ständerat end ngIf: businessRole.Committees.CommitteeName","Kommission für Wissenschaft, Bildung und Kultur Ständerat, Würth Benedikt"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243811","ngIf: businessRole.Committees.CommitteeName Sicherheitspolitische Kommission Ständerat end ngIf: businessRole.Committees.CommitteeName","Sicherheitspolitische Kommission Ständerat, Salzmann Werner"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243797","14.06.2024","Klopfenstein Broggini Delphine, Brenzikofer Florence, Cottier Damien, Roth David, Schlatter Marionna, Töngi Michael, Tuosto Brenda"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243757","14.06.2024","Vincenz-Stauffacher Susanne, Bäumle Martin, de Montmollin Simone, Jauslin Matthias Samuel, Masshardt Nadine, Trede Aline, Wismer-Felder Priska"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243660","13.06.2024","Hurni Baptiste, Hegglin Peter, Ettlin Erich, Maillard Pierre-Yves, Maret Marianne, Poggia Mauro, Wasserfallen Flavia"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243597","12.06.2024","Klopfenstein Broggini Delphine, Aellen Cyril, Arslan Sibel, Brenzikofer Florence, Christ Katja, Dandrès Christian, Farinelli Alex, Fehlmann Rielle Laurence, Fonio Giorgio, Friedl Claudia, Gysi Barbara, Gysin Greta, Maitre Vincent, Marti Samira, Ryser Franziska, Schlatter Marionna, Schneider-Schneiter Elisabeth, Storni Bruno, Tuosto Brenda, Walder Nicolas"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243518","03.06.2024","Meier Andreas, Alijaj Islam, Andrey Gerhard, Arslan Sibel, Badertscher Christine, Bally Maya, Baumann Kilian, Candan Hasan, Chappuis Isabelle, Clivaz Christophe, de Quattro Jacqueline, Flach Beat, Giacometti Anna, Glättli Balthasar, Grossen Jürg, Hess Lorenz, Hübscher Martin, Jauslin Matthias Samuel, Jost Marc, Kälin Irène, Kamerzin Sidney, Klopfenstein Broggini Delphine, Marti Min Li, Mettler Melanie, Müller Leo, Müller-Altermatt Stefan, Munz Martina, Nause Reto, Nordmann Roger, Paganini Nicolò, Pamini Paolo, Prelicz-Huber Katharina, Quadri Lorenzo, Riem Katja, Ritter Markus, Roduit Benjamin, Schaffner Barbara, Schilliger Peter, Seiler Graf Priska, Stettler Thomas, Storni Bruno, Tschopp Jean, Walder Nicolas, Weichelt Manuela, Wettstein Felix, Wismer-Felder Priska"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243508","30.05.2024","Sommaruga Carlo, Caroni Andrea, Crevoisier Crelier Mathilde, Graf Maya, Hurni Baptiste, Jositsch Daniel, Maillard Pierre-Yves, Poggia Mauro, Rieder Beat, Roth Franziska, Stocker Simon, Vara Céline, Wasserfallen Flavia, Z'graggen Heidi, Zopfi Mathias"
